conversation_id,turn_index,role,content,tags,source_section,content_normalized
conv_1047,0,system,أنت مساعد مزايا.,أيام_الأعياد_التفصيل,الباب الأول > 3.7.5 (ص78),انت مساعد مزايا.
conv_1047,1,user,ما الأعياد الرسمية بالتفصيل؟,أيام_الأعياد_التفصيل,الباب الأول > 3.7.5 (ص78),ما الاعياد الرسمية بالتفصيل؟
conv_1047,2,assistant,رأس السنة الميلادية (1)، الإسراء والمعراج (1)، العمال (1)، الفطر (3+1 قبل العيد)، الأضحى (4+1 قبل العيد)، رأس السنة الهجرية (1)، المولد النبوي (1)، الاستقلال (1). للمسيحيين: الشعانين، أحد الفصح، عيد الميلاد (يوم قبل + يوم العيد + اليوم التالي). للنساء: يوم المرأة العالمي (8 آذار).,أيام_الأعياد_التفصيل,الباب الأول > 3.7.5 (ص78),راس السنة الميلادية (1)، الاسراء والمعراج (1)، العمال (1)، الفطر (3+1 قبل العيد)، الاضحي (4+1 قبل العيد)، راس السنة الهجرية (1)، المولد النبوي (1)، الاستقلال (1). للمسيحيين: الشعانين، احد الفصح، عيد الميلاد (يوم قبل + يوم العيد + اليوم التالي). للنساء: يوم المراة العالمي (8 اذار).
conv_1048,0,system,أنت مساعد مزايا.,الإجازة_المرضية,الباب الأول > 3.7.6 (ص79–81),انت مساعد مزايا.
conv_1048,1,user,ما الإجازة المرضية؟,الإجازة_المرضية,الباب الأول > 3.7.6 (ص79–81),ما الاجازة المرضية؟
conv_1048,2,assistant,14 يومًا بأجر كامل مع تقرير طبي (حتى لو ليوم واحد). عند استمرار المرض: 14 يومًا إضافية بنصف الراتب.,الإجازة_المرضية,الباب الأول > 3.7.6 (ص79–81),14 يوما باجر كامل مع تقرير طبي (حتي لو ليوم واحد). عند استمرار المرض: 14 يوما اضافية بنصف الراتب.
conv_1049,0,system,أنت مساعد مزايا.,سنوية_غير_مستخدمة,الباب الأول > 3.7.7 (ص81–82),انت مساعد مزايا.
conv_1049,1,user,هل يمكن ترحيل الإجازة السنوية؟,سنوية_غير_مستخدمة,الباب الأول > 3.7.7 (ص81–82),هل يمكن ترحيل الاجازة السنوية؟
conv_1049,2,assistant,يسمح بتجميع لعامين كحد أقصى. لا يمكن الاستعارة من العام القادم إلا استثنائيًا وبموافقة خطية من الرئيس التنفيذي.,سنوية_غير_مستخدمة,الباب الأول > 3.7.7 (ص81–82),يسمح بتجميع لعامين كحد اقصي. لا يمكن الاستعارة من العام القادم الا استثناءيا وبموافقة خطية من الرءيس التنفيذي.
conv_1050,0,system,أنت مساعد مزايا.,مرضية_غير_مستخدمة,الباب الأول > 3.7.8 (ص82),انت مساعد مزايا.
conv_1050,1,user,هل تُرحّل الإجازات المرضية؟,مرضية_غير_مستخدمة,الباب الأول > 3.7.8 (ص82),هل ترحل الاجازات المرضية؟
conv_1050,2,assistant,لا، تُلغى بانتهاء العام الميلادي.,مرضية_غير_مستخدمة,الباب الأول > 3.7.8 (ص82),لا، تلغي بانتهاء العام الميلادي.
conv_1051,0,system,أنت مساعد مزايا.,إجازة_الأمومة_والأبوة,الباب الأول > 3.7.9 (ص83–85),انت مساعد مزايا.
conv_1051,1,user,ما إجازة الأمومة وهل هناك إجازة أبوة؟,إجازة_الأمومة_والأبوة,الباب الأول > 3.7.9 (ص83–85),ما اجازة الامومة وهل هناك اجازة ابوة؟
conv_1051,2,assistant,الأمومة: 10 أسابيع بأجر كامل لمن أتمت 180 يوم عمل، على أن لا تقل 6 أسابيع بعد الولادة. ساعة رضاعة لمدة عام. الأبوة: 3 أيام.,إجازة_الأمومة_والأبوة,الباب الأول > 3.7.9 (ص83–85),الامومة: 10 اسابيع باجر كامل لمن اتمت 180 يوم عمل، علي ان لا تقل 6 اسابيع بعد الولادة. ساعة رضاعة لمدة عام. الابوة: 3 ايام.
conv_1052,0,system,أنت مساعد مزايا.,إجازة_الحداد,الباب الأول > 3.7.10 (ص85–86),انت مساعد مزايا.
conv_1052,1,user,ما إجازة الحداد؟,إجازة_الحداد,الباب الأول > 3.7.10 (ص85–86),ما اجازة الحداد؟
conv_1052,2,assistant,3 أيام للقرابة حتى الدرجة الثانية، وتمتد للدرجة الثالثة إذا أقيم العزاء في بيت الموظف.,إجازة_الحداد,الباب الأول > 3.7.10 (ص85–86),3 ايام للقرابة حتي الدرجة الثانية، وتمتد للدرجة الثالثة اذا اقيم العزاء في بيت الموظف.
conv_1053,0,system,أنت مساعد مزايا.,إجازة_الحج,الباب الأول > 3.7.11 (ص86–87),انت مساعد مزايا.
conv_1053,1,user,ما إجازة الحج؟,إجازة_الحج,الباب الأول > 3.7.11 (ص86–87),ما اجازة الحج؟
conv_1053,2,assistant,أسبوعان بأجر كامل لمرة واحدة لمن أمضى 5 سنوات في العمل.,إجازة_الحج,الباب الأول > 3.7.11 (ص86–87),اسبوعان باجر كامل لمرة واحدة لمن امضي 5 سنوات في العمل.
conv_1054,0,system,أنت مساعد موارد بشرية.,غياب_بدون_مبرر,الباب الأول > 3.7.12 (ص88–90),انت مساعد موارد بشرية.
conv_1054,1,user,ما أثر الغياب غير الموافق عليها؟,غياب_بدون_مبرر,الباب الأول > 3.7.12 (ص88–90),ما اثر الغياب غير الموافق عليها؟
conv_1054,2,assistant,الغياب 15 يومًا متقطعة في السنة أو 7 متتالية دون عذر مقبول يجيز إنهاء العمل. تُرسل تحذيرات كتابية ضمن المدد المحددة.,غياب_بدون_مبرر,الباب الأول > 3.7.12 (ص88–90),الغياب 15 يوما متقطعة في السنة او 7 متتالية دون عذر مقبول يجيز انهاء العمل. ترسل تحذيرات كتابية ضمن المدد المحددة.
conv_1055,0,system,أنت مساعد مزايا.,إجازة_بدون_مرتب,الباب الأول > 3.7.13 (ص90),انت مساعد مزايا.
conv_1055,1,user,هل تشجع المؤسسة الإجازة بدون مرتب؟,إجازة_بدون_مرتب,الباب الأول > 3.7.13 (ص90),هل تشجع المءسسة الاجازة بدون مرتب؟
conv_1055,2,assistant,لا تشجعها إلا في الحالات المحددة (المرضية/الأمومة بعد تجاوز الحدود القانونية) وبما هو مبين في السياسة.,إجازة_بدون_مرتب,الباب الأول > 3.7.13 (ص90),لا تشجعها الا في الحالات المحددة (المرضية/الامومة بعد تجاوز الحدود القانونية) وبما هو مبين في السياسة.
conv_1056,0,system,أنت مساعد مزايا.,إجازة_ثقافية,الباب الأول > 3.7.14 (ص90–92),انت مساعد مزايا.
conv_1056,1,user,ما الإجازة الثقافية؟,إجازة_ثقافية,الباب الأول > 3.7.14 (ص90–92),ما الاجازة الثقافية؟
conv_1056,2,assistant,إجازة مدفوعة لا تزيد عن 7 أيام عمل متتالية أو مجزأة سنويًا، مع أولوية لمن لم يشارك سابقًا.,إجازة_ثقافية,الباب الأول > 3.7.14 (ص90–92),اجازة مدفوعة لا تزيد عن 7 ايام عمل متتالية او مجزاة سنويا، مع اولوية لمن لم يشارك سابقا.
conv_1057,0,system,أنت مساعد حضور.,إنذارات_الغياب,الباب الأول > 3.7.15 (ص92–93),انت مساعد حضور.
conv_1057,1,user,ما المطلوب في الإجازات المرضية الطارئة؟,إنذارات_الغياب,الباب الأول > 3.7.15 (ص92–93),ما المطلوب في الاجازات المرضية الطارءة؟
conv_1057,2,assistant,الاتصال بالمشرف في ساعات الصباح المبكر كل يوم غياب.,إنذارات_الغياب,الباب الأول > 3.7.15 (ص92–93),الاتصال بالمشرف في ساعات الصباح المبكر كل يوم غياب.
conv_1058,0,system,أنت مساعد تدريب.,التدريب_العام,الباب الأول > 3.8 (ص93–98),انت مساعد تدريب.
conv_1058,1,user,ما سياسة التدريب لدى المؤسسة؟,التدريب_العام,الباب الأول > 3.8 (ص93–98),ما سياسة التدريب لدي المءسسة؟
conv_1058,2,assistant,تقديم التدريب المقرر والمدفوع بالكامل داخليًا أو خارجيًا خلال ساعات العمل، مثل التوجيه للموظفين الجدد، تدريب البرامج، التدريب الفردي (لغات/إدارة)، والمؤتمرات والندوات.,التدريب_العام,الباب الأول > 3.8 (ص93–98),تقديم التدريب المقرر والمدفوع بالكامل داخليا او خارجيا خلال ساعات العمل، مثل التوجيه للموظفين الجدد، تدريب البرامج، التدريب الفردي (لغات/ادارة)، والمءتمرات والندوات.
conv_1059,0,system,أنت مساعد تدريب.,تدريب_الأفراد,الباب الأول > 3.8.1 (ص95–97),انت مساعد تدريب.
conv_1059,1,user,كيف تُدار فرص تدريب الأفراد؟,تدريب_الأفراد,الباب الأول > 3.8.1 (ص95–97),كيف تدار فرص تدريب الافراد؟
conv_1059,2,assistant,تساعد المؤسسة موظفيها عبر الوقت أو المساعدة النقدية أو كليهما، بحد أقصى تدريبَين سنويًا لكل موظف.,تدريب_الأفراد,الباب الأول > 3.8.1 (ص95–97),تساعد المءسسة موظفيها عبر الوقت او المساعدة النقدية او كليهما، بحد اقصي تدريبين سنويا لكل موظف.
conv_1060,0,system,أنت مساعد خدمات.,ضيافة_التدريبات,الباب الأول > 3.8.1.1 (ص98–99),انت مساعد خدمات.
conv_1060,1,user,كيف تُحدد ضيافة التدريبات وورش العمل؟,ضيافة_التدريبات,الباب الأول > 3.8.1.1 (ص98–99),كيف تحدد ضيافة التدريبات وورش العمل؟
conv_1060,2,assistant,حتى 3 ساعات: مشروب وضيافة خفيفة. 3–6 ساعات: إضافة وجبة خفيفة (ساندويتش لحوم بيضاء). أكثر من 6 ساعات: وجبة غداء (بيضاء/حمراء).,ضيافة_التدريبات,الباب الأول > 3.8.1.1 (ص98–99),حتي 3 ساعات: مشروب وضيافة خفيفة. 3-6 ساعات: اضافة وجبة خفيفة (ساندويتش لحوم بيضاء). اكثر من 6 ساعات: وجبة غداء (بيضاء/حمراء).
conv_1061,0,system,أنت مساعد إدارة.,لقاء_سنوي,الباب الأول > 4 (ص104),انت مساعد ادارة.
conv_1061,1,user,ما سياسة اللقاء السنوي للكادر؟,لقاء_سنوي,الباب الأول > 4 (ص104),ما سياسة اللقاء السنوي للكادر؟
conv_1061,2,assistant,لقاء خارج المكاتب لمدة 2–4 أيام، مدفوع الأجر، ويُعوَّض الموظف عن عطلته بأيام أخرى.,لقاء_سنوي,الباب الأول > 4 (ص104),لقاء خارج المكاتب لمدة 2-4 ايام، مدفوع الاجر، ويعوض الموظف عن عطلته بايام اخري.
conv_1062,0,system,أنت مساعد تدريب.,تعهد_التدريب,الباب الأول > 5 (ص100),انت مساعد تدريب.
conv_1062,1,user,ما سياسة التعهد والتزام التدريب؟,تعهد_التدريب,الباب الأول > 5 (ص100),ما سياسة التعهد والتزام التدريب؟
conv_1062,2,assistant,تمنح المؤسسة إجازة تدريبية قصيرة للسفر بقرار من الرئيس التنفيذي، ويوقع الموظف وثيقة التدريب الخاصة.,تعهد_التدريب,الباب الأول > 5 (ص100),تمنح المءسسة اجازة تدريبية قصيرة للسفر بقرار من الرءيس التنفيذي، ويوقع الموظف وثيقة التدريب الخاصة.
conv_1063,0,system,أنت مساعد امتثال.,سلوك_إجرامي,الباب الأول > 6 (ص101–103),انت مساعد امتثال.
conv_1063,1,user,ما المقصود بالسلوك الإجرامي والسياسات ذات الصلة؟,سلوك_إجرامي,الباب الأول > 6 (ص101–103),ما المقصود بالسلوك الاجرامي والسياسات ذات الصلة؟
conv_1063,2,assistant,أي عمل محظور يسبب ضررًا جسديًا أو ماديًا. تحظر المؤسسة المخدرات والكحول خلال العمل، وتجرّم الفساد والرشوة وتطبّق الفصل الفوري عند التكرار.,سلوك_إجرامي,الباب الأول > 6 (ص101–103),اي عمل محظور يسبب ضررا جسديا او ماديا. تحظر المءسسة المخدرات والكحول خلال العمل، وتجرم الفساد والرشوة وتطبق الفصل الفوري عند التكرار.
conv_1064,0,system,أنت مساعد تنظيم.,قيادة_وسلطة,الباب الأول > 7 (ص118–119),انت مساعد تنظيم.
conv_1064,1,user,ما الغاية من التسلسل الهرمي وإعداد التقارير؟,قيادة_وسلطة,الباب الأول > 7 (ص118–119),ما الغاية من التسلسل الهرمي واعداد التقارير؟
conv_1064,2,assistant,ضمان كفاءة العمل بتقليل عدد المرؤوسين لكل مشرف، وتحديد خطوط السلطة واشتراطات الإبلاغ وتعميمها.,قيادة_وسلطة,الباب الأول > 7 (ص118–119),ضمان كفاءة العمل بتقليل عدد المرءوسين لكل مشرف، وتحديد خطوط السلطة واشتراطات الابلاغ وتعميمها.
conv_1065,0,system,أنت مساعد شكاوى.,مظالم_واستئناف,الباب الأول > 8 (ص119),انت مساعد شكاوي.
conv_1065,1,user,كيف يمارس الموظف حق الاستئناف؟,مظالم_واستئناف,الباب الأول > 8 (ص119),كيف يمارس الموظف حق الاستءناف؟
conv_1065,2,assistant,برسالة للمدير المباشر مع نسخة للرئيس التنفيذي خلال أسبوع من القرار.,مظالم_واستئناف,الباب الأول > 8 (ص119),برسالة للمدير المباشر مع نسخة للرءيس التنفيذي خلال اسبوع من القرار.
conv_1066,0,system,أنت مساعد سفر.,السفر_عام,الباب الأول > 9.1–9.8 (ص120–126),انت مساعد سفر.
conv_1066,1,user,ما أبرز سياسات السفر؟,السفر_عام,الباب الأول > 9.1–9.8 (ص120–126),ما ابرز سياسات السفر؟
conv_1066,2,assistant,توقع توافر موظفي البرامج والعلاقات للسفر بتكليف موقع. درجة السفر اقتصادية. تُسدد النفقات الفعلية للسكن والوجبات والاتصالات، وفاتورة الفنادق على أساس سرير فقط. سيارات الأجرة لأغراض العمل، وتأجير السيارات بموافقة مسبقة وبحجم متوسط وبدون سائق. تتحمل المؤسسة فقط تكلفة التأشيرات. تُمنح سلفة سفر 80% وتُسوى خلال 10 أيام من العودة.,السفر_عام,الباب الأول > 9.1–9.8 (ص120–126),توقع توافر موظفي البرامج والعلاقات للسفر بتكليف موقع. درجة السفر اقتصادية. تسدد النفقات الفعلية للسكن والوجبات والاتصالات، وفاتورة الفنادق علي اساس سرير فقط. سيارات الاجرة لاغراض العمل، وتاجير السيارات بموافقة مسبقة وبحجم متوسط وبدون ساءق. تتحمل المءسسة فقط تكلفة التاشيرات. تمنح سلفة سفر 80% وتسوي خلال 10 ايام من العودة.
conv_1067,0,system,أنت مساعد برامج.,زيارات_ميدانية,الباب الأول > 10.1 (ص127–128),انت مساعد برامج.
conv_1067,1,user,كيف تُرتب الزيارات الميدانية؟,زيارات_ميدانية,الباب الأول > 10.1 (ص127–128),كيف ترتب الزيارات الميدانية؟
conv_1067,2,assistant,تقديم جدول أعمال مفصل والموافقة المسبقة، ثم تقرير تفصيلي لا يزيد عن صفحة خلال 24 ساعة.,زيارات_ميدانية,الباب الأول > 10.1 (ص127–128),تقديم جدول اعمال مفصل والموافقة المسبقة، ثم تقرير تفصيلي لا يزيد عن صفحة خلال 24 ساعة.
conv_1068,0,system,أنت مساعد مالي.,نفقات_متنوعة,الباب الأول > 10.2 (ص129–130),انت مساعد مالي.
conv_1068,1,user,كيف تُسدد النفقات غير المغطاة؟,نفقات_متنوعة,الباب الأول > 10.2 (ص129–130),كيف تسدد النفقات غير المغطاة؟
conv_1068,2,assistant,النفقات فوق 5 دولارات تتطلب إيصالات وموافقة المشرف قبل السداد.,نفقات_متنوعة,الباب الأول > 10.2 (ص129–130),النفقات فوق 5 دولارات تتطلب ايصالات وموافقة المشرف قبل السداد.
conv_1069,0,system,أنت مساعد أصول.,الجرد_السنوي,الباب الأول > 10.3 (ص130–138),انت مساعد اصول.
conv_1069,1,user,كيف يُدار الجرد السنوي والأصول الثابتة؟,الجرد_السنوي,الباب الأول > 10.3 (ص130–138),كيف يدار الجرد السنوي والاصول الثابتة؟
conv_1069,2,assistant,إحصاء فعلي للأصول وتسجيلها على بيسان. المسؤول: مدير المكتب بالفروع ومسؤول الصيانة بالمركز. تصنيف الأصول: حواسيب، معدات مكتبية، أثاث وتجهيزات. تُؤمن ضد الحريق سنويًا.,الجرد_السنوي,الباب الأول > 10.3 (ص130–138),احصاء فعلي للاصول وتسجيلها علي بيسان. المسءول: مدير المكتب بالفروع ومسءول الصيانة بالمركز. تصنيف الاصول: حواسيب، معدات مكتبية، اثاث وتجهيزات. تءمن ضد الحريق سنويا.
conv_1070,0,system,أنت مساعد انضباط.,جزاءات_تأديبية,الباب الأول > 11 (ص139–157),انت مساعد انضباط.
conv_1070,1,user,ما مرجعية الجزاءات التأديبية؟,جزاءات_تأديبية,الباب الأول > 11 (ص139–157),ما مرجعية الجزاءات التاديبية؟
conv_1070,2,assistant,جدول يشمل نحو 45 مخالفة مع تدرج العقوبات من تنبيه شفهي إلى الفصل النهائي. يُراعى التدرج بحسب خطورة وتكرار المخالفة.,جزاءات_تأديبية,الباب الأول > 11 (ص139–157),جدول يشمل نحو 45 مخالفة مع تدرج العقوبات من تنبيه شفهي الي الفصل النهاءي. يراعي التدرج بحسب خطورة وتكرار المخالفة.
conv_1071,0,system,أنت مساعد أخلاقيات.,مدونة_السلوك,الباب الثاني > مدونة السلوك (ص161–172),انت مساعد اخلاقيات.
conv_1071,1,user,ما نطاق سريان مدونة السلوك وأهدافها؟,مدونة_السلوك,الباب الثاني > مدونة السلوك (ص161–172),ما نطاق سريان مدونة السلوك واهدافها؟
conv_1071,2,assistant,تسري على كل ذي صلة مباشر أو غير مباشر بالمؤسسة، وتهدف لترسيخ ثقافة مؤسساتية وقيم مهنية: احترام التنوع وحقوق الإنسان، النزاهة، الشفافية، المساءلة، الاستقلالية والحياد.,مدونة_السلوك,الباب الثاني > مدونة السلوك (ص161–172),تسري علي كل ذي صلة مباشر او غير مباشر بالمءسسة، وتهدف لترسيخ ثقافة مءسساتية وقيم مهنية: احترام التنوع وحقوق الانسان، النزاهة، الشفافية، المساءلة، الاستقلالية والحياد.
conv_1072,0,system,أنت مساعد موارد بشرية.,التزامات_العمل,الباب الثاني > التزامات الموظف (ص174–181),انت مساعد موارد بشرية.
conv_1072,1,user,ما الالتزامات العامة على الموظف؟,التزامات_العمل,الباب الثاني > التزامات الموظف (ص174–181),ما الالتزامات العامة علي الموظف؟
conv_1072,2,assistant,الاستمرارية في أداء الواجبات، واحترام الرؤساء والزملاء والجمهور، والالتزام ببيئة خالية من التمييز والتحرش.,التزامات_العمل,الباب الثاني > التزامات الموظف (ص174–181),الاستمرارية في اداء الواجبات، واحترام الرءساء والزملاء والجمهور، والالتزام ببيءة خالية من التمييز والتحرش.
conv_1073,0,system,أنت مساعد امتثال.,السرية_العامة,الباب الثاني > السرية (ص218–221),انت مساعد امتثال.
conv_1073,1,user,ما نطاق سياسة السرية؟,السرية_العامة,الباب الثاني > السرية (ص218–221),ما نطاق سياسة السرية؟
conv_1073,2,assistant,تحمي المعلومات السرية والمملوكة للمؤسسة (المالية غير المنشورة، بيانات الأطراف الثالثة، قوائم العملاء والموردين، التسعير). إغلاق أماكن الحفظ وتمزيق المستندات عند عدم الحاجة.,السرية_العامة,الباب الثاني > السرية (ص218–221),تحمي المعلومات السرية والمملوكة للمءسسة (المالية غير المنشورة، بيانات الاطراف الثالثة، قواءم العملاء والموردين، التسعير). اغلاق اماكن الحفظ وتمزيق المستندات عند عدم الحاجة.
conv_1074,0,system,أنت مساعد شؤون موظفين.,العمل_من_المنزل,الباب الثاني > العمل من المنزل (ص225–228),انت مساعد شءون موظفين.
conv_1074,1,user,هل يسمح بالعمل من المنزل؟,العمل_من_المنزل,الباب الثاني > العمل من المنزل (ص225–228),هل يسمح بالعمل من المنزل؟
conv_1074,2,assistant,يسمح فقط إذا سمحت متطلبات العمل وبموافقة المدير، ويُقدَّم الطلب قبل يومين على الأقل لأسباب مثل العناية بالأبناء أو سوء الطقس أو حالة طارئة.,العمل_من_المنزل,الباب الثاني > العمل من المنزل (ص225–228),يسمح فقط اذا سمحت متطلبات العمل وبموافقة المدير، ويقدم الطلب قبل يومين علي الاقل لاسباب مثل العناية بالابناء او سوء الطقس او حالة طارءة.
conv_1075,0,system,أنت مسؤول سلامة.,الصحة_والسلامة,الباب الثاني > الصحة والسلامة (ص230–234),انت مسءول سلامة.
conv_1075,1,user,ما ملامح سياسة الصحة والسلامة؟,الصحة_والسلامة,الباب الثاني > الصحة والسلامة (ص230–234),ما ملامح سياسة الصحة والسلامة؟
conv_1075,2,assistant,اتباع المعايير القانونية وتلافي المخاطر وتوفير بيئة خالية من التدخين والمخدرات والعنف.,الصحة_والسلامة,الباب الثاني > الصحة والسلامة (ص230–234),اتباع المعايير القانونية وتلافي المخاطر وتوفير بيءة خالية من التدخين والمخدرات والعنف.
conv_1076,0,system,أنت مسؤول إعلام.,العلاقات_العامة_والسوشيال,الباب الثاني > العلاقات العامة ووسائل التواصل (ص237–244),انت مسءول اعلام.
conv_1076,1,user,ما محظورات النشر على وسائل التواصل؟,العلاقات_العامة_والسوشيال,الباب الثاني > العلاقات العامة ووسائل التواصل (ص237–244),ما محظورات النشر علي وساءل التواصل؟
conv_1076,2,assistant,منع نشر أي معلومات سرية أو غير معتمدة، أو محتوى ديني/حزبي/سياسي/عنصري/فئوي.,العلاقات_العامة_والسوشيال,الباب الثاني > العلاقات العامة ووسائل التواصل (ص237–244),منع نشر اي معلومات سرية او غير معتمدة، او محتوي ديني/حزبي/سياسي/عنصري/فءوي.
conv_1077,0,system,أنت مساعد مالي.,صندوق_النثريات,الباب الثاني > صندوق النثريات (ص264–267),انت مساعد مالي.
conv_1077,1,user,ما سياسة صندوق النثريات؟,صندوق_النثريات,الباب الثاني > صندوق النثريات (ص264–267),ما سياسة صندوق النثريات؟
conv_1077,2,assistant,المساعد الإداري هو المسؤول. يُستخدم لمشتريات طارئة أو غير معتادة أقل من 200 شيكل. يمنع تغطية نفقات شخصية أو قروض. تتم التسوية سنويًا.,صندوق_النثريات,الباب الثاني > صندوق النثريات (ص264–267),المساعد الاداري هو المسءول. يستخدم لمشتريات طارءة او غير معتادة اقل من 200 شيكل. يمنع تغطية نفقات شخصية او قروض. تتم التسوية سنويا.
conv_1078,0,system,أنت مساعد تدريب.,سياسة_التدريب,الباب الثاني > سياسة التدريب (ص271–275),انت مساعد تدريب.
conv_1078,1,user,على من تنطبق سياسة التدريب وكيف تُمول؟,سياسة_التدريب,الباب الثاني > سياسة التدريب (ص271–275),علي من تنطبق سياسة التدريب وكيف تمول؟
conv_1078,2,assistant,تنطبق على الدائمين ودوام كامل/جزئي، وتُغطى جميع رسوم التدريب.,سياسة_التدريب,الباب الثاني > سياسة التدريب (ص271–275),تنطبق علي الداءمين ودوام كامل/جزءي، وتغطي جميع رسوم التدريب.
conv_1079,0,system,أنت مساعد ترقيات.,سياسة_الترقيات,الباب الثاني > الترقيات (ص279–281),انت مساعد ترقيات.
conv_1079,1,user,ما الدرجات الوظيفية؟,سياسة_الترقيات,الباب الثاني > الترقيات (ص279–281),ما الدرجات الوظيفية؟
conv_1079,2,assistant,درجة 4: موظفون جدد وخدمات، 5: مهني/مختص، 6: مهني/مختص أول، 7: مدير دائرة، 8: الرئيس التنفيذي.,سياسة_الترقيات,الباب الثاني > الترقيات (ص279–281),درجة 4: موظفون جدد وخدمات، 5: مهني/مختص، 6: مهني/مختص اول، 7: مدير داءرة، 8: الرءيس التنفيذي.
conv_1080,0,system,أنت مسؤول امتثال.,مكافحة_الفساد,الباب الثاني > مكافحة الفساد (ص303–312),انت مسءول امتثال.
conv_1080,1,user,كيف تُعرّف المؤسسة الفساد وما موقفها؟,مكافحة_الفساد,الباب الثاني > مكافحة الفساد (ص303–312),كيف تعرف المءسسة الفساد وما موقفها؟
conv_1080,2,assistant,سوء استخدام السلطة لمنفعة خاصة، ويشمل الرشوة والعمولات واختلاس الأصول. الحظر تام ويُتخذ بحق المخالف إجراءات قانونية وإدارية.,مكافحة_الفساد,الباب الثاني > مكافحة الفساد (ص303–312),سوء استخدام السلطة لمنفعة خاصة، ويشمل الرشوة والعمولات واختلاس الاصول. الحظر تام ويتخذ بحق المخالف اجراءات قانونية وادارية.
conv_1081,0,system,أنت مساعد حوكمة.,تضارب_المصالح,"الباب الثاني > تضارب المصالح (ص202–203, 322)",انت مساعد حوكمة.
conv_1081,1,user,ما تضارب المصالح وكيف يُدار؟,تضارب_المصالح,"الباب الثاني > تضارب المصالح (ص202–203, 322)",ما تضارب المصالح وكيف يدار؟
conv_1081,2,assistant,أي موقف يؤثر فيه تشابك المصالح على حياد القرار. يجب الإفصاح عن المصالح المالية/الشخصية عند مناقشة أي أمر ذي صلة.,تضارب_المصالح,"الباب الثاني > تضارب المصالح (ص202–203, 322)",اي موقف يءثر فيه تشابك المصالح علي حياد القرار. يجب الافصاح عن المصالح المالية/الشخصية عند مناقشة اي امر ذي صلة.
conv_1082,0,system,أنت مساعد حماية.,منع_الاستغلال_والاعتداء,"الباب الثاني > منع الاستغلال والاعتداء والتحرش (ص207–211, 338–357)",انت مساعد حماية.
conv_1082,1,user,ما سياسة المؤسسة بشأن الاستغلال والاعتداء والتحرش؟,منع_الاستغلال_والاعتداء,"الباب الثاني > منع الاستغلال والاعتداء والتحرش (ص207–211, 338–357)",ما سياسة المءسسة بشان الاستغلال والاعتداء والتحرش؟
conv_1082,2,assistant,عدم التسامح المطلق مع أي استغلال أو اعتداء أو تحرش، ومنع أي نشاط جنسي مع الأطفال (دون 18 عامًا)، ومنع العلاقات مع المرؤوسين/أصحاب المصلحة الأساسيين.,منع_الاستغلال_والاعتداء,"الباب الثاني > منع الاستغلال والاعتداء والتحرش (ص207–211, 338–357)",عدم التسامح المطلق مع اي استغلال او اعتداء او تحرش، ومنع اي نشاط جنسي مع الاطفال (دون 18 عاما)، ومنع العلاقات مع المرءوسين/اصحاب المصلحة الاساسيين.
conv_1083,0,system,أنت مسؤول حماية.,حماية_الأطفال_والضعفاء,الباب الثاني > حماية الضعفاء والأطفال (ص371–382),انت مسءول حماية.
conv_1083,1,user,من يُعد طفلًا وما الأولوية؟,حماية_الأطفال_والضعفاء,الباب الثاني > حماية الضعفاء والأطفال (ص371–382),من يعد طفلا وما الاولوية؟
conv_1083,2,assistant,الطفل: من هو دون 18 عامًا. مصلحة الأشخاص الضعفاء لها أولوية قصوى.,حماية_الأطفال_والضعفاء,الباب الثاني > حماية الضعفاء والأطفال (ص371–382),الطفل: من هو دون 18 عاما. مصلحة الاشخاص الضعفاء لها اولوية قصوي.
conv_1084,0,system,أنت مساعد شكاوى.,التظلم,الباب الثاني > سياسة وإجراء التظلم (ص401–424),انت مساعد شكاوي.
conv_1084,1,user,ما مراحل إجراء التظلم؟,التظلم,الباب الثاني > سياسة وإجراء التظلم (ص401–424),ما مراحل اجراء التظلم؟
conv_1084,2,assistant,تبدأ بمحاولة غير رسمية ثم تصعيد إلى اللجنة الفرعية للموارد البشرية في المرحلة الثالثة. لا يحق اصطحاب محامٍ داخل الإجراء الداخلي.,التظلم,الباب الثاني > سياسة وإجراء التظلم (ص401–424),تبدا بمحاولة غير رسمية ثم تصعيد الي اللجنة الفرعية للموارد البشرية في المرحلة الثالثة. لا يحق اصطحاب محام داخل الاجراء الداخلي.
conv_1085,0,system,أنت مساعد نزاهة.,الإبلاغ_عن_المخالفات,الباب الثاني > الإبلاغ وعدم الانتقام (ص435–440),انت مساعد نزاهة.
conv_1085,1,user,كيف يتم الإبلاغ عن المخالفات؟,الإبلاغ_عن_المخالفات,الباب الثاني > الإبلاغ وعدم الانتقام (ص435–440),كيف يتم الابلاغ عن المخالفات؟
conv_1085,2,assistant,شخصيًا أو عبر البريد complaints@alnayzak.org أو الهاتف 0597920990 للمدير العام أو رئيس مجلس الإدارة. تُمنع أي أعمال انتقام ضد المبلغين بحسن نية.,الإبلاغ_عن_المخالفات,الباب الثاني > الإبلاغ وعدم الانتقام (ص435–440),شخصيا او عبر البريد complaints@alnayzak.org او الهاتف 0597920990 للمدير العام او رءيس مجلس الادارة. تمنع اي اعمال انتقام ضد المبلغين بحسن نية.
conv_1086,0,system,أنت مساعد تحقيقات.,التحقيقات,الباب الثاني > سياسة التحقيقات (ص453–459),انت مساعد تحقيقات.
